outcome,predictor,pct_given_yes,pct_given_no,diff_pct,n_yes_group,n_no_group,p_value
QN27,QN43,35.9,18.3,17.7,1409,13713,6.24E-14
QN27,QN48,36.4,16.7,19.7,3356,15861,2.37E-21
QN27,QN84,45,10.5,34.5,4725,10705,1.72E-24
QN27,QN85,11.3,23.1,-11.8,3917,13228,4.31E-12
QN27,QN86,41.9,19.8,22.1,461,13755,0.000151
QN27,QN87,16.7,27.4,-10.7,11564,4753,1.05E-11
QN27,QN88,54.4,17.3,37.1,1150,12384,3.99E-26
QN27,QN89,52.2,16.5,35.8,1760,11868,5.09E-27
QN27,QN90,53.7,19.8,33.8,384,13225,2.68E-12
QN27,QN91,48.5,19.7,28.8,350,13224,9.87E-09
QN27,QN99,19.2,29.3,-10,13339,2119,0.00219
QN27,QN100,38,14.5,23.4,3771,9306,2.25E-38
QN27,QN101,39.3,13,26.3,4242,8795,7.89E-33
QN27,QN102,35,18.4,16.6,2299,10761,1.39E-09
QN27,QN103,14.6,26.7,-12.1,5949,5066,4.20E-17
QN27,QN104,18.6,28,-9.4,8842,1767,2.74E-08
QN27,qntb4,37.6,15.3,22.3,3374,14154,5.25E-33
QN27,qnillict,44.8,17.3,27.5,1219,9479,2.51E-17
QN27,qnowt,20.9,19.8,1.1,2679,14930,0.324
QN27,qnobese,24.4,19.1,5.3,2920,14689,0.00059
QN28,QN12,36.5,15.8,20.7,772,17158,4.83E-09
QN28,QN13,23.1,15.7,7.4,491,10725,0.00951
QN28,QN16,23.6,13.7,10,2258,9087,4.96E-11
QN28,QN19,43.2,13.1,30.1,1504,14198,5.60E-30
QN28,QN20,40.3,12.5,27.8,1808,13772,1.53E-28
QN28,QN21,44.9,13.6,31.3,873,12364,1.67E-23
QN28,QN22,39.9,16.4,23.4,1094,9476,6.28E-15
QN28,QN23,23.3,13.4,9.9,5366,11423,5.09E-12
QN28,QN24,34.8,11.9,23,3647,14599,1.02E-23
QN28,QN25,38.6,12.1,26.5,3096,15168,1.94E-18
QN28,QN26,35.7,3.7,32,7463,10802,9.98E-56
QN28,QN43,28.2,14.4,13.8,1399,13720,3.46E-11
QN28,QN48,29.4,13.4,16,3080,14911,1.73E-16
QN28,QN84,36,8.9,27.1,4267,9886,2.83E-16
QN28,QN85,9.2,19,-9.8,3649,12231,6.33E-12
QN28,QN86,40.2,15.6,24.6,470,13746,0.00053
QN28,QN87,14,21.3,-7.4,10458,4542,1.39E-08
QN28,QN88,41,13.6,27.4,1146,12378,9.11E-21
QN28,QN89,44.3,13,31.4,1753,11874,7.45E-22
QN28,QN90,46.2,15.6,30.6,383,13235,1.68E-14
QN28,QN91,44.2,16,28.2,351,13126,1.06E-12
QN28,QN99,14.8,27,-12.2,13334,2136,0.000843
QN28,QN100,30.9,12.2,18.7,3750,9229,1.57E-28
QN28,QN101,32.3,10.2,22,4215,8827,2.15E-33
QN28,QN102,30.5,14.1,16.4,2304,10763,2.71E-09
QN28,QN103,12,22.6,-10.5,5889,5034,2.59E-16
QN28,QN104,14.6,22.4,-7.9,8944,1765,4.10E-06
QN28,qntb4,31.9,11.8,20.1,3150,13281,1.52E-27
QN28,qnillict,37.2,13.2,24,1223,9586,1.80E-20
QN28,qnowt,17.4,16.5,0.9,2514,13918,0.409
QN28,qnobese,20.2,15.9,4.3,2758,13674,0.000513
QN29,QN12,31,8.6,22.4,805,18099,1.46E-11
QN29,QN13,24.2,8.7,15.5,504,10720,5.24E-12
QN29,QN16,17.7,7.1,10.5,2285,9206,1.64E-13
QN29,QN19,36.2,6.6,29.6,1588,15086,3.22E-38
QN29,QN20,29.5,6.2,23.3,1784,13450,7.88E-30
QN29,QN21,32,7.5,24.6,863,12186,9.28E-27
QN29,QN22,33.4,9.7,23.7,1158,9903,1.08E-22
QN29,QN23,15,6.7,8.2,5478,12112,2.17E-15
QN29,QN24,21.8,6.4,15.4,3841,15340,7.95E-28
QN29,QN25,25.9,6.2,19.7,3240,15950,1.86E-26
QN29,QN26,21,1.9,19.1,7803,11379,1.20E-33
QN29,QN43,23.1,7.6,15.5,1406,13739,7.51E-21
QN29,QN48,22.4,6.4,16,3302,15615,1.40E-21
QN29,QN84,20,5.2,14.9,4700,10630,2.82E-22
QN29,QN85,5.3,10.8,-5.5,3892,12950,3.68E-08
QN29,QN86,35,8.6,26.3,428,13794,1.14E-17
QN29,QN87,7.3,14.6,-7.3,11365,4620,5.48E-09
QN29,QN88,36.8,7,29.8,1154,12506,9.85E-25
QN29,QN89,29.4,6.8,22.6,1759,11917,1.62E-21
QN29,QN90,40.1,8.5,31.5,384,13287,2.27E-21
QN29,QN91,39.4,8.8,30.6,348,13175,2.52E-18
QN29,QN99,7.7,19.1,-11.3,13259,1992,6.71E-11
QN29,QN100,19.9,6,13.9,3733,9288,2.86E-22
QN29,QN101,18.7,5.6,13.2,4211,8890,7.92E-20
QN29,QN102,19.4,7.6,11.8,2271,10856,2.10E-11
QN29,QN103,7.1,12.6,-5.5,5923,5072,4.48E-10
QN29,QN104,7.7,15.9,-8.2,8966,1766,2.87E-08
QN29,qntb4,24,5.6,18.4,3329,14022,7.71E-32
QN29,qnillict,29,6.4,22.5,1226,9607,1.65E-30
QN29,qnowt,9.4,9.2,0.2,2625,14609,0.873
QN29,qnobese,11.2,8.9,2.3,2855,14379,0.0587
QN30,QN12,9,2,6.9,641,13608,9.26E-07
QN30,QN13,6.6,1.7,4.9,495,10730,5.45E-06
QN30,QN16,4,1.2,2.7,2267,9121,8.39E-08
QN30,QN19,10.3,1.2,9,1332,13047,3.76E-21
QN30,QN20,8.3,1.1,7.1,1590,12469,2.65E-18
QN30,QN21,9.6,1.4,8.2,788,11696,3.68E-15
QN30,QN22,9.9,2.1,7.8,900,7766,2.23E-18
QN30,QN23,4.4,1.4,3,4370,9660,4.31E-06
QN30,QN24,5.5,1.5,4.1,2882,11619,1.40E-14
QN30,QN25,7.8,1.2,6.5,2428,12104,1.08E-12
QN30,QN26,4.9,0.5,4.4,5981,8553,6.76E-14
QN30,QN43,6.6,1.6,5,1084,10692,7.35E-08
QN30,QN48,5.8,1.3,4.5,2581,11767,4.20E-07
QN30,QN84,4.6,1.5,3.1,3564,8181,0.000224
QN30,QN85,1.2,2.5,-1.2,3043,10192,0.000762
QN30,QN86,16,1.9,14.1,344,11479,6.58E-13
QN30,QN87,1.3,3.8,-2.5,9368,4181,3.15E-06
QN30,QN88,8.3,1.3,7,985,10443,1.22E-14
QN30,QN89,7,1.6,5.4,1505,10003,2.38E-07
QN30,QN90,11.1,1.9,9.2,322,11203,1.27E-08
QN30,QN91,13.8,2,11.8,300,11069,7.92E-16
QN30,QN99,1.4,6.1,-4.7,11356,1741,1.04E-05
QN30,QN100,5,1.2,3.8,3250,7614,2.86E-14
QN30,QN101,4.7,1.1,3.6,3608,7346,5.64E-10
QN30,QN102,6.2,1.4,4.8,2059,8921,9.90E-10
QN30,QN103,1.5,2.9,-1.5,5864,5023,0.000464
QN30,QN104,1.4,4.1,-2.8,8974,1764,1.64E-06
QN30,qntb4,6.3,0.8,5.5,2578,10406,2.33E-21
QN30,qnillict,9.2,0.9,8.3,1221,9629,4.26E-21
QN30,qnowt,2.4,2.2,0.2,2008,11066,0.677
QN30,qnobese,3.1,2.1,1,2297,10777,0.129
